Istaigos_kodas;Ataskaitinio_laikotarpio_pradzia;Ataskaitinio_laikotarpio_pabaiga;Gydytojo_ID;Prisirasiusiu_prie_gydytojo_gyventoju_skaicius;Gydytojo_viso_ataskaitinio_laikotarpio_darbo_valandu_kiekis_viso;Ataskaitos_sukurimo_data
125873515;2026-04-01;2026-06-30;2487;1784;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2711;1525;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;1919;919;274,83;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3686;1528;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2455;1785;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3987;1678;565,63;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2032;1513;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2579;1799;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2489;874;282,27;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2250;1576;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2225;1385;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2504;806;235,6;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;1949;1817;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;1956;1945;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2259;1564;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2255;1044;353,4;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2063;1338;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2298;1728;565,45;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2312;1430;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2468;1492;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2599;1600;518,23;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3435;1800;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2311;1668;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3045;1662;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2257;1510;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2486;1410;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2484;1971;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2071;1554;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2009;1870;612,77;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3134;1583;518,32;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2299;1491;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2080;1560;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4145;2023;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2254;1457;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3903;1652;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2043;1558;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2365;1795;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2053;1498;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2077;1557;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2294;1803;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2698;767;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2029;674;174,43;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3623;620;155,8;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2037;796;227,83;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;1929;916;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2287;786;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3815;741;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2536;568;319,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3891;1053;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2293;848;476,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2014;754;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2295;602;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2076;806;473,1;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4047;1947;612,77;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4130;1712;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4366;902;235,6;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;2532;305;94,23;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4540;690;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3762;1965;511,1;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4630;1630;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3292;1574;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4642;1849;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3444;1486;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4730;1844;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4868;1685;638,22;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3781;1822;565,37;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4896;1545;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4999;1880;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4480;1637;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;5104;1280;353,4;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;4025;1526;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;5017;1581;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;5130;1563;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;5127;1427;471,2;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;5150;1899;589;2026-07-08 16:20
125873515;2026-04-01;2026-06-30;3308;1570;471,2;2026-07-08 16:20
